num_connections perm aperture
22 4.06286749e-11 2.208040078e-05
15 4.108430183e-11 2.220386502e-05
12 3.916196628e-11 2.167818247e-05
15 3.88318664e-11 2.158662541e-05
9 3.889480551e-11 2.160411225e-05
16 3.827768916e-11 2.14320384e-05
7 3.650816914e-11 2.093079142e-05
9 3.410581119e-11 2.023041607e-05
8 3.388918768e-11 2.016606685e-05
7 3.17651194e-11 1.952386828e-05
6 3.772898344e-11 2.127787117e-05
10 3.174686665e-11 1.951825811e-05
9 3.17266381e-11 1.951203878e-05
8 3.02547476e-11 1.905405393e-05
6 3.611331634e-11 2.08172956e-05
12 3.509734022e-11 2.052238004e-05
13 3.390226129e-11 2.016995626e-05
12 3.445113258e-11 2.033257463e-05
7 3.408911481e-11 2.02254636e-05
5 3.290134967e-11 1.986998229e-05
10 3.384419421e-11 2.015267552e-05
8 3.058244647e-11 1.91569663e-05
5 2.992091642e-11 1.894864103e-05
8 2.92769991e-11 1.874363863e-05
3 2.918876472e-11 1.871537273e-05
14 3.311172309e-11 1.993340606e-05
10 2.985378242e-11 1.892737142e-05
5 3.137259369e-11 1.940286382e-05
2 2.906861245e-11 1.867681315e-05
6 2.884808487e-11 1.860583292e-05
5 2.857803222e-11 1.85185417e-05
4 2.844886134e-11 1.847664299e-05
4 2.8187385e-11 1.839153664e-05
7 2.983573067e-11 1.892164813e-05
6 2.877922073e-11 1.858361237e-05
4 2.811040661e-11 1.836640627e-05
6 2.809306236e-11 1.836073932e-05
3 2.983218158e-11 1.892052269e-05
3 2.777058153e-11 1.82550535e-05
1 2.81381054e-11 1.837545278e-05
4 2.953844313e-11 1.882714311e-05
2 2.838121234e-11 1.845466196e-05
5 2.803711444e-11 1.834244731e-05
3 2.731830264e-11 1.810579001e-05
3 2.650155265e-11 1.78330769e-05
6 2.799531351e-11 1.83287687e-05
5 2.742322034e-11 1.814052491e-05
5 2.596072691e-11 1.765017629e-05
3 2.778783201e-11 1.826072244e-05
6 2.774157485e-11 1.824551721e-05
5 2.757879803e-11 1.819190964e-05
6 2.483342403e-11 1.726270803e-05
2 2.418497906e-11 1.703583719e-05
2 2.409100718e-11 1.70027082e-05
4 2.72062267e-11 1.806861147e-05
4 2.715820122e-11 1.805265672e-05
4 2.623746106e-11 1.774399991e-05
2 2.394014881e-11 1.694938895e-05
4 2.686553389e-11 1.795512202e-05
4 2.611017945e-11 1.770090827e-05
7 2.66770226e-11 1.789201697e-05
2 2.567664951e-11 1.755334139e-05
2 2.538995701e-11 1.745507044e-05
5 2.360054128e-11 1.682874016e-05
3 2.566550042e-11 1.754953005e-05
5 2.553779379e-11 1.750581405e-05
5 2.539472057e-11 1.745670779e-05
3 2.3448752e-11 1.677453499e-05
6 2.514342569e-11 1.737012114e-05
3 2.484557597e-11 1.726693116e-05
0 2.302242222e-11 1.662134371e-05
4 2.350518929e-11 1.679470963e-05
1 2.344843559e-11 1.677442181e-05
4 2.338175229e-11 1.675055305e-05
4 2.309773226e-11 1.664850705e-05
1 2.300373173e-11 1.661459541e-05
1 2.273472091e-11 1.651716231e-05
6 2.264703351e-11 1.648527835e-05
1 2.256798864e-11 1.645648394e-05
4 2.292161199e-11 1.658491314e-05
1 2.282817448e-11 1.65510753e-05
2 2.307512006e-11 1.664035579e-05
2 2.200419793e-11 1.624962692e-05
1 2.275269449e-11 1.652369008e-05
3 2.143701372e-11 1.603883302e-05
4 2.229619298e-11 1.635708763e-05
2 2.11303603e-11 1.59237032e-05
2 2.102248478e-11 1.588300404e-05
2 2.120990695e-11 1.595364797e-05
2 2.086295247e-11 1.582262398e-05
4 2.290565195e-11 1.65791382e-05
2 2.113699166e-11 1.592620168e-05
2 2.108636e-11 1.590711539e-05
1 2.090378658e-11 1.583810086e-05
0 2.245314316e-11 1.641455811e-05
0 2.056218334e-11 1.570815712e-05
0 2.020007487e-11 1.556922922e-05
0 2.011975181e-11 1.553824384e-05
1 2.056116379e-11 1.570776768e-05
2 2.049893378e-11 1.568397926e-05
4 2.23778959e-11 1.638702996e-05
1 2.026276643e-11 1.55933703e-05
1 2.010280509e-11 1.553169859e-05
1 1.973298219e-11 1.538817033e-05
3 2.004532408e-11 1.550947739e-05
2 2.124296132e-11 1.596607453e-05
1 1.958096249e-11 1.532878175e-05
3 1.964739643e-11 1.535476334e-05
1 1.962277343e-11 1.534513868e-05
2 2.10549103e-11 1.589524846e-05
2 1.945000676e-11 1.527743699e-05
1 1.935437593e-11 1.523983304e-05
1 2.10524774e-11 1.589433008e-05
1 1.955904774e-11 1.532020146e-05
1 1.930711452e-11 1.522121461e-05
1 1.929928062e-11 1.521812628e-05
1 1.914483462e-11 1.515711105e-05
1 1.912547285e-11 1.514944468e-05
0 1.909528301e-11 1.513748315e-05
1 2.104674423e-11 1.58921657e-05
2 1.920302324e-11 1.518012776e-05
2 1.90327457e-11 1.511267509e-05
0 1.895510618e-11 1.508181933e-05
3 1.892537776e-11 1.506998783e-05
1 1.887311539e-11 1.504916558e-05
1 1.906739976e-11 1.512642711e-05
2 2.08739936e-11 1.582681027e-05
3 1.872667618e-11 1.499066757e-05
1 2.086953625e-11 1.582512038e-05
2 1.866947155e-11 1.496775396e-05
2 1.863156662e-11 1.49525516e-05
0 2.067037084e-11 1.574942698e-05
2 2.062743418e-11 1.573306106e-05
4 2.045751175e-11 1.5668125e-05
1 1.844149777e-11 1.487608729e-05
1 1.858478322e-11 1.493376706e-05
2 2.008729702e-11 1.552570656e-05
0 1.98676934e-11 1.544060623e-05
3 1.833039036e-11 1.483120644e-05
0 1.978337096e-11 1.540780489e-05
1 1.832642559e-11 1.482960239e-05
1 1.943221566e-11 1.527044819e-05
3 1.938145877e-11 1.525049197e-05
2 1.831892706e-11 1.48265682e-05
1 1.937613141e-11 1.524839588e-05
1 1.928552558e-11 1.521270216e-05
3 1.793277095e-11 1.466946664e-05
1 1.919168228e-11 1.517564455e-05
1 1.773138649e-11 1.458686525e-05
0 1.899460114e-11 1.509752343e-05
0 1.761114797e-11 1.453732354e-05
1 1.754906341e-11 1.451167671e-05
2 1.823307123e-11 1.479178335e-05
2 1.884866299e-11 1.503941341e-05
0 1.744125883e-11 1.446703515e-05
4 1.787560554e-11 1.464606659e-05
1 1.761929919e-11 1.454068741e-05
2 1.758926768e-11 1.452829006e-05
1 1.720898133e-11 1.437037842e-05
2 1.857078345e-11 1.492814126e-05
0 1.720838338e-11 1.437012876e-05
2 1.850883374e-11 1.490322129e-05
1 1.71779433e-11 1.43574134e-05
2 1.752358996e-11 1.450114063e-05
1 1.748853874e-11 1.448663056e-05
1 1.747323295e-11 1.448028989e-05
3 1.841689734e-11 1.486616185e-05
1 1.716784428e-11 1.435319238e-05
0 1.712601863e-11 1.433569753e-05
1 1.735455821e-11 1.443103248e-05
0 1.72642143e-11 1.439342112e-05
1 1.827233609e-11 1.480770182e-05
1 1.81964879e-11 1.477693658e-05
1 1.700305933e-11 1.428414198e-05
0 1.690630943e-11 1.424344457e-05
0 1.815867873e-11 1.476157663e-05
1 1.705763107e-11 1.430704626e-05
1 1.704642868e-11 1.430234751e-05
0 1.703212249e-11 1.429634463e-05
1 1.699326717e-11 1.428002822e-05
1 1.681079896e-11 1.420315414e-05
1 1.783119225e-11 1.462786064e-05
1 1.680987973e-11 1.420276581e-05
0 1.780421461e-11 1.461679087e-05
1 1.671812363e-11 1.416395014e-05
1 1.662499657e-11 1.412444544e-05
1 1.652871556e-11 1.408348631e-05
3 1.745491661e-11 1.447269841e-05
0 1.679529147e-11 1.419660162e-05
1 1.677863982e-11 1.418956228e-05
1 1.629545463e-11 1.398375685e-05
0 1.669576209e-11 1.415447438e-05
0 1.741777836e-11 1.445729367e-05
2 1.661991521e-11 1.412228673e-05
1 1.739680696e-11 1.44485876e-05
1 1.739392122e-11 1.44473892e-05
0 1.660841074e-11 1.411739809e-05
0 1.62682796e-11 1.397209201e-05
0 1.736125901e-11 1.443381821e-05
0 1.647721004e-11 1.406152625e-05
1 1.641981786e-11 1.403701586e-05
1 1.722413032e-11 1.437670212e-05
0 1.704630025e-11 1.430229363e-05
2 1.636913731e-11 1.401533616e-05
0 1.618247558e-11 1.39351967e-05
1 1.634665515e-11 1.400570819e-05
0 1.631230618e-11 1.399098546e-05
0 1.616691284e-11 1.392849432e-05
1 1.697677871e-11 1.427309863e-05
0 1.604708517e-11 1.387677996e-05
1 1.621506331e-11 1.394922076e-05
1 1.618803541e-11 1.393759036e-05
1 1.682475237e-11 1.420904742e-05
1 1.672786709e-11 1.416807697e-05
0 1.668671611e-11 1.415063933e-05
0 1.593770251e-11 1.382940455e-05
0 1.661536656e-11 1.412035406e-05
3 1.604270873e-11 1.387488756e-05
1 1.588699478e-11 1.380738706e-05
0 1.596827636e-11 1.38426629e-05
0 1.654795276e-11 1.409167957e-05
1 1.653968155e-11 1.408815739e-05
1 1.58231537e-11 1.377961699e-05
0 1.579891226e-11 1.37690576e-05
0 1.588076364e-11 1.380467905e-05
0 1.650387802e-11 1.407290078e-05
2 1.584443019e-11 1.378887821e-05
0 1.574503441e-11 1.374555975e-05
1 1.572752909e-11 1.373791648e-05
0 1.582837936e-11 1.378189219e-05
0 1.645524923e-11 1.405215253e-05
1 1.641555257e-11 1.403519258e-05
2 1.560778497e-11 1.368551861e-05
2 1.559953426e-11 1.368190086e-05
0 1.57868714e-11 1.376380968e-05
0 1.633916767e-11 1.400250021e-05
3 1.55059137e-11 1.364078313e-05
2 1.549300476e-11 1.363510385e-05
1 1.612147584e-11 1.390890758e-05
0 1.563919887e-11 1.369928416e-05
0 1.563239285e-11 1.369630294e-05
1 1.544011214e-11 1.361180905e-05
0 1.534411128e-11 1.356942649e-05
1 1.560094485e-11 1.368251944e-05
1 1.599143488e-11 1.385269716e-05
1 1.59913886e-11 1.385267712e-05
1 1.529167892e-11 1.354622261e-05
0 1.558307855e-11 1.367468254e-05
1 1.528516469e-11 1.354333697e-05
